Metric Name (CN),English Name,English Abbreviation,Category,Lower Bound,Upper Bound,Unit,Professional Interpretation,Recommendations,Applicable Scope,Health Interpretation,Aliases
1. Control weight, not exceeding 5% of standard body weight.,,,,,,,,,,
2. Avoid catching cold and prevent colds. Keep indoor and outdoor clean.,,,,,,,,,,,
3. Do not drink excessively or regularly drink high-concentration spirits and smoke.,,,,,,,,,,,
4. Actively and effectively treat the primary disease, which is an important aspect of preventing arrhythmia.,,,,,,,,,,
5. Avoid sudden cold and heat stimulation; water temperature should not be too high when bathing.,,,,,,,,,,,
6. Avoid irregular diet, overeating, eat more fresh fruits and vegetables.,,,,,,,,,
7. After discovering arrhythmia, treatment should be carried out according to medical advice. Do not choose drugs or stop drugs at will. You should ask the doctor before deciding how to handle it.,,,,,,,,,,
8. Emotional stability, do not become depressed when encountering things, and do not become angry or overly tense and anxious. Get along harmoniously with people around you, keep your mood comfortable, and don't hold grudges.,,,,,,,
9. Exercise should be moderate," following the principle of """"acting according to one's ability""""", do not force exercise or excessive exercise, and do not think that the more exercise, the more beneficial to health. Middle-aged and elderly people should take walks, practice Tai Chi, etc.,,,,,
10. Do not ignore regular physical examinations. Some patients' arrhythmias are discovered during physical examinations. Once arrhythmia is discovered, you should go to the hospital in time for necessary treatment. If the patient feels unwell, they should go to the hospital for examination immediately," and do not think it is """"nothing"""" and take it lightly.""",Adults,,,,,,,
Heart rate,Heart rate,HR,Vital Signs,60,100,beats/min,Heart rate refers to the number of heartbeats per minute in a normal person at rest, also called resting heart rate, generally 60-100 beats/minute," which can vary individually due to age, gender, or other physiological factors. Generally speaking, the younger the age, the faster the heart rate. The elderly have slower heartbeats than young people, and women have faster heart rates than men of the same age. These are all normal physiological phenomena. At rest, the normal heart rate for adults is 60-100 beats/minute, and the ideal heart rate should be 55-70 beats/minute (athletes have slower heart rates than ordinary adults, generally around 50 beats/minute).,Regular participation in various appropriate intensity exercises will slow down the resting heart rate. Although heart rate increases during exercise, exercise can exercise heart function, thereby slowing down the resting heart rate. Generally, the appropriate exercise heart rate is ""170-age"". For example, for a 50-year-old person, the exercise heart rate should be controlled at 120 beats/minute. If it is too fast, it means the exercise volume is too large, and if it is not reached, it will not have an effect. Before exercise, you should feel comfortable and not fatigued. Generally, exercise should not exceed 1 hour, and the best time each time is 30-60 minutes, at least 3 times a week.",
Staying up late, smoking, and drinking can all increase resting heart rate. Drink less strong tea, especially don't drink it before going to bed, otherwise it is easy to cause insomnia. You should also have regular bowel movements and keep bowel movements smooth.,,,,,,,
Obesity will increase the burden on the heart and increase the heart rate. Therefore, obese people should maintain an appropriate weight through fitness exercises and dietary adjustments.,,,,,,,,,,
In life, the mentality should be peaceful, don't always be anxious or angry. If the heart rate is too fast due to tension, anger, etc., you can gradually return to calm through listening to music, meditation, etc.,,,,
Some diseases such as hypertension and coronary heart disease cause increased heart rate. According to medical advice, drugs can be taken to slow down the heart rate, protect the heart, reduce and control myocardial ischemia events, improve heart function," and prolong life.""",Adults,,,,,
Electrocardiogram,Electrocardiogram,ECG,Electrocardiogram,None,None,No unit,Sinus rhythm is normal ECG, and some ST-T changes do not require special treatment.,If there is palpitation or frequent abnormalities," it is recommended to visit the cardiology department to assess whether intervention is needed.,Adults,Electrocardiogram is an important means for early identification of arrhythmia and ischemia.",
Heart sounds,Heart sounds,HS,Physical Examination,,,,"Heart sounds are mechanical wave phenomena produced by heart contraction, valve closure, and blood flow impact, which can be recorded by stethoscope or phonocardiogram. Normal heart sounds are divided into the first heart sound (S1, marking ventricular contraction) and the second heart sound (S2, marking ventricular diastole), both formed by valve closure and hemodynamic changes. The third heart sound (S3) can be heard in children and adolescents, while the fourth heart sound (S4) is mostly pathological.",,,,
Heart sound conduction is affected by tissue characteristics. People with emphysema or obesity have weakened heart sounds. Changes in heart sound intensity and wavelength can reflect valve function, myocardial state, and hemodynamic abnormalities. For example, heart valve lesions can cause murmurs. Auscultation needs to be performed in seven specific areas, and phonocardiogram is used to record and analyze heart sound waveforms. Abnormal heart sounds include diastolic gallop rhythm, systolic ejection sounds," etc. The timing and nature of their appearance have important reference value for the diagnosis of cardiovascular diseases.""",,Adults,,,
Total triiodothyronine,Total triiodothyronine,TT3,Thyroid Function,1.54,3.08,nmol/L,10%-20% of T3 is synthesized and released by the thyroid gland, and 80%-90% comes from the deiodination of T4 in peripheral tissues to T3. T3 is the main thyroid hormone that exerts biological activity. The vast majority of T3 in serum (99.5%) is bound to specific proteins in plasma, and only a very small amount is in free state (0.5%). Changes in TT3 concentration in serum indicate abnormal thyroid function. Changes in TT3 concentration are often parallel to TT4," but sometimes there are differences, such as T4-type hyperthyroidism, where TT3 is normal. Therefore, TT3 and TT4 values are often measured simultaneously in clinical practice. Measurement method: 2ml of venous blood, non-anticoagulated, separate serum for measurement.,(1) TT3 increase: ① TT3 is the most sensitive indicator for diagnosing hyperthyroidism. In hyperthyroidism, TT3 can be 4 times higher than the normal value. ② At the same time, TT3 is a specific indicator for diagnosing T3-type hyperthyroidism. (2) TT3 decrease: Common in hypothyroidism. (3) Low T3 syndrome: Although T3 is decreased, there are no hypothyroidism symptoms, which can be seen in pernicious anemia, acute myocardial infarction, cirrhosis, uremia and other acute and severe diseases and chronic consumptive diseases.,Adults,",
Total thyroxine,Total thyroxine,TT4,Thyroid Function,65,156,nmol/L,Serum total thyroxine (TT4) is one of the main hormones secreted by the thyroid gland, with a daily production of about 80-100μg, of which 99.96% exists in the blood in protein-bound form," and the main binding protein is thyroid hormone binding globulin (TBG). Changes in serum TBG concentration and binding capacity will affect TT4 measurement results. Pregnancy and estrogen therapy can cause TBG elevation, while androgens and hypoproteinemia cause its decrease. TT4 is the most basic screening test for determining thyroid function, often used as an evaluation indicator for hyperthyroidism or hypothyroidism, and together with total triiodothyronine (T3), free T3, free T4, and thyroid-stimulating hormone (TSH), constitutes the thyroid five-item test package. TT4 test values are affected by age, gender, and physiological status. Its clinical application covers auxiliary diagnosis of thyroid toxicosis, hypothyroidism, and TBG abnormality-related diseases. In 398 test cases, the TT4 level differences between 91 cases in the untreated hyperthyroidism group and 39 cases in the treated group can provide a basis for efficacy observation. When treating central hypothyroidism, the dose of levothyroxine sodium tablets needs to be adjusted based on TT4 and FT4 levels. In the early stage of treatment, TSH, FT4, and TT4 need to be rechecked every 4-8 weeks, and every 6-12 months after reaching the target. Before testing, iodine-containing foods and specific drugs need to be stopped, and fasting should be maintained to reduce interference.,(1) Increase: ① Thyroid toxicosis: Painless thyroiditis, subacute thyroiditis, exophthalmic hyperthyroidism, taking thyroid preparations, teratoma, malignant choriocarcinoma, pituitary thyroid-stimulating hormone tumor. ② Normal thyroid function: TBG (thyroid binding globulin) increase (familial), pregnancy, newborns, some liver cancer, hepatitis (acute phase), acute intermittent porphyria, drugs (steroids), contraceptives, chronic thyroiditis with positive anti-thyroxine antibodies, familial abnormal albuminemia, excessive T4-binding prealbumin (TBPA), transient high T4 blood (acute diseases, oral cholecystography agents). (2) Decrease: ① Hypothyroidism: Chronic thyroiditis, cretinism, iodine organification disorder, pituitary hypothyroidism. ② Normal thyroid function: TBG (thyroxine binding globulin) decrease (familial), nephrotic syndrome, artificial dialysis treatment, hypoproteinemia, protein-losing gastroenteropathy, cirrhosis, drugs (testosterone, protein differentiation hormone, adrenal glucocorticoids, salicylic acid, phenytoin sodium, dilantin, heparin). ③ Low T3 syndrome (severe), thyroid toxicosis, excessive T3 intake. (3) T4-type hyperthyroidism (T4 increased while T3 is normal).,Adults,",
Total cholesterol,Total cholesterol,TC,Blood Lipid,0,5.18,mmol/L,Elevation is a risk factor for cardiovascular and cerebrovascular diseases.,It is recommended to improve diet, increase exercise," and intervene with medication when necessary.,Adults,Cholesterol elevation requires attention to cardiovascular health, controlling diet and lifestyle.",
Total bile acids,Total bile acids,TBA,Liver Function,0,10,umol/L,Total bile acids (TBA) are the end products of cholesterol metabolism synthesized by the liver, including primary and secondary bile acids, which participate in the digestion and absorption of fat substances through enterohepatic circulation. As a biochemical test item," it has important diagnostic value in liver diseases such as acute hepatitis, chronic hepatitis, and cirrhosis, especially with high specificity in judging cholestasis. The diagnostic standard for intrahepatic cholestasis of pregnancy (ICP) is TBA≥10μmol/L. TBA testing can also assist in the diagnosis of digestive system diseases such as gastric ulcer with bile reflux and small intestinal bacterial overgrowth, and is associated with thyroid dysfunction.,In hepatobiliary diseases, total bile acids (TBA) are significantly elevated, which is a very sensitive hepatobiliary function test. Total bile acids are significantly elevated in acute hepatitis, cirrhosis, primary liver cancer, acute intrahepatic cholestasis, primary biliary cirrhosis, and extrahepatic obstructive jaundice.,Adults,",
Total bilirubin,Total bilirubin,TBil,Liver Function,5.13,22.24,μmol/L,Total bilirubin is the sum of direct bilirubin and indirect bilirubin. The liver plays an important role in bilirubin metabolism, including three processes: hepatocyte uptake, binding," and excretion of unconjugated bilirubin in the blood. If any of these processes is impaired, it can cause bilirubin accumulation in the blood and jaundice.,Total bilirubin elevation caused by physiological reasons generally recovers on its own after adjustment. Patients with pathological elevation should be highly valued and treated in the hospital in time to seize the best treatment opportunity.,Liver and gallbladder function tests,Serum total bilirubin measurement is an important test item in liver and gallbladder function tests. It can accurately reflect the degree of jaundice and has important significance for the clinical diagnosis of latent jaundice.",
Total bilirubin,Total bilirubin,TBil,Liver Function,5.13,22.24,μmol/L,"Total bilirubin (total bilirubin, TBIL) is the general term for direct bilirubin and indirect bilirubin, distinguished by whether they are combined with glucuronic acid. Indirect bilirubin is insoluble in water and needs to be metabolized by the liver into soluble direct bilirubin, which can be excreted through the kidneys. Liver metabolism includes three key processes: hepatocyte uptake of unconjugated bilirubin, binding to form direct bilirubin, and excretion into bile. Dysfunction in any of these processes may lead to bilirubin accumulation in the blood. Testing requires fasting for 12 hours and collecting venous blood.",,,,
This indicator is an important item in hepatobiliary function testing, which can quantitatively assess the degree of jaundice and assist in the diagnosis of latent jaundice. Physiological elevation is seen in neonatal jaundice, alcohol consumption, or strenuous exercise, and usually recovers on its own; pathological elevation is related to diseases such as hepatitis, cirrhosis, cholelithiasis, and hemolytic jaundice. These diseases may interfere with the uptake, binding, or excretion processes of bilirubin metabolism," requiring medical intervention combined with clinical conditions."",Serum total bilirubin measurement is an important test item in liver and gallbladder function tests. It can accurately reflect the degree of jaundice and has important significance for the clinical diagnosis of latent jaundice.",
1. Physiological elevation: Newborns develop physiological jaundice, with no other discomfort, and it will subside on its own after about a week. Long-term alcohol consumption, strenuous exercise, etc. may also cause total bilirubin elevation. Total bilirubin elevation caused by physiological reasons generally recovers on its own after adjustment.,,,,,,,
2. Pathological elevation: Common in diseases such as hepatitis, obstructive jaundice, cirrhosis, neonatal pathological jaundice, cholelithiasis, pancreatic head cancer, and hemolytic jaundice. Patients should be highly valued, treated in the hospital in time, seize the best treatment opportunity, grasp the development trend of the condition," detect the development changes of the condition, and have a comprehensive understanding of their own condition."",Adults,",
Total protein,Total protein,TP,Liver Function,60,80,g/L,Serum total protein can be divided into albumin and globulin, which have important physiological functions in the body. Serum proteins have multiple functions such as maintaining normal colloid osmotic pressure and pH of blood, transporting various metabolites," regulating the physiological effects of transported substances and removing their toxicity, immune effects, and nutritional effects. Serum total protein can not only be used for monitoring the body's nutritional status but also for the diagnosis and differential diagnosis of diseases.,Elevation may be caused by dehydration, multiple myeloma, etc.; decrease may be caused by malignant tumors, malnutrition, impaired liver function, etc.,Used for monitoring the body's nutritional status, diagnosis and differential diagnosis of diseases.,The normal reference range for serum total protein is 60-80g/L, and values outside this range may indicate health problems.",
Systolic blood pressure,Systolic blood pressure,SBP,Blood Pressure,90,119,mmHg,Reflects the pressure in arteries when the heart contracts. High values indicate hypertension risk, while low values may cause insufficient blood supply.,Maintain a healthy lifestyle," avoid high-salt diet, moderate exercise. If persistently abnormal, medical consultation is recommended.,Adults,Persistently high systolic blood pressure is an important risk factor for cardiovascular and cerebrovascular diseases.",
Papain,Papain,PAP,Enzyme Assay,3,9.5,U,Papain is a thiol (SH) peptide endonuclease with protease and esterase activities, with relatively broad specificity, and has strong hydrolytic ability for animal and plant proteins," polypeptides, esters, amides, etc. Its active center contains cysteine and belongs to thiol proteases, with characteristics such as high enzyme activity, good thermal stability, and natural hygiene and safety.,In the food industry, it can be used as a processing aid (enzyme preparation), and generally should be removed before the final product is made (except for those with specified residual amounts). It has wide applications in meat tenderization, beer clarification, etc.,Food, medicine, feed, daily chemicals, leather, and textile industries,Drugs containing papain have anti-inflammatory, choleretic, analgesic, and digestive effects; in cosmetics, they have whitening, skin rejuvenation, beauty and health care, and skin improvement effects; in feed additives, they can improve feed utilization, help livestock digestion, and accelerate their growth.",
Xylosyltransferase,Xylosyltransferase,XYLT,Enzyme Assay,10,320,U/L,Xylosyltransferase is a type of biocatalyst that can catalyze xylosyl transfer reactions and has important application value in scientific research and industrial production. This enzyme mediates the specific transfer of xylosyl groups from donor molecules to acceptor molecules and participates in polysaccharide synthesis and modification processes. Its active center contains a conserved glycosyl recognition domain, and its secretory protein properties give it transmembrane transport capabilities.,Testing requires strict temperature control conditions (37±1°C)," and sample processing requires ice grinding and ultrasonic lysis to maintain enzyme activity. Recombinant protein dissolution requires the use of 100mM NaHCO3 buffer and vortex oscillation is prohibited.,Applicable for various sample analyses such as serum, plasma, and cell culture supernatants, supporting detection of more than 6 species. It shows important value in the field of natural product synthesis and can be used for oligosaccharide synthesis.,This indicator is mainly applied in scientific research and industrial fields, and there is currently no clear clinical health correlation data. The lyophilized powder form can be stored at -80°C for 12 months, and the activity retention period is 1 month at 2-8°C after dissolution.",
Ribonucleotide reductase,Ribonucleotide reductase,RNR,Enzyme Assay,0,18,,Ribonucleotide reductase is the only biological enzyme widely found in various organisms that catalyzes the reduction of 4 ribonucleotides to deoxyribonucleotides. As a key enzyme and rate-limiting enzyme for DNA synthesis and repair, it maintains deoxynucleotide balance through allosteric effects. This enzyme has a similar tertiary structure active center, is classified according to bound metal ions," and uses a free radical catalytic mechanism to regulate cell proliferation and differentiation. Research has confirmed that it activates antiviral defense by regulating deoxynucleotide levels during phage infection, and its subunit RRM1 is related to tumor chemotherapy resistance.,In 2024, a new human-derived polypeptide ""ribonucleotide reductase 10.45"" developed based on DNA recombination technology has entered the patent application stage for treating tumors and anemia. Its allosteric regulatory mechanism provides a classic model for enzyme function research.,An important target for DNA synthesis and repair, cell proliferation and differentiation, and cancer treatment and anticancer drug development, and also an important tool for studying enzyme structure and function and enzyme catalytic mechanisms.,This enzyme plays a regulatory role in cell proliferation and differentiation and is an important target for studying DNA synthesis and repair, cell proliferation and differentiation, and cancer treatment and anticancer drug development.",
Hypoxanthine-guanine phosphoribosyltransferase,Hypoxanthine-guanine phosphoribosyltransferase,HPRT,Enzyme Assay,2,10,units,HPRT gene defects can be divided into complete defects and partial defects. If completely defective, it is called Lesch-Nyhan syndrome, and HPRT enzyme activity cannot be detected in the blood. Clinical symptoms include not only gout but also neurological disorders such as chorea," intellectual disability, spasms, self-injury, and urinary system stones. If the HPRT gene is partially defective, the enzyme activity in the blood is approximately between 2 and 10, and clinical symptoms include gout and urinary stones, but there will be no neurological or behavioral abnormalities.,For patients suspected of HPRT deficiency, genetic testing should be performed to confirm the diagnosis. For confirmed patients, uric acid levels should be monitored regularly, and appropriate treatment measures should be taken to prevent gout and other related complications.,Applicable for patients suspected of HPRT deficiency, especially those with symptoms of gout, neurological disorders, or urinary stones.,HPRT enzyme is very important for purine biosynthesis and central nervous system function. Partial deficiency of this enzyme can lead to excessive uric acid production, which in turn causes gout and other related health problems.",
Carbamoyl phosphate synthetase,Carbamoyl phosphate synthetase,CPS,Enzyme Assay,1,4,,Carbamoyl phosphate synthetase (CPS) is a core enzyme class in organisms that catalyzes the generation of carbamoyl phosphate. According to subcellular localization and metabolic function, it can be divided into two isozymes: CPSI is localized in mitochondria and participates in the urea cycle using free ammonia as a nitrogen source; CPSII exists in the cytoplasm and drives pyrimidine nucleotide synthesis using glutamine as a nitrogen source. The two isozymes have different regulatory mechanisms: CPSI activity depends on N-acetylglutamate allosteric activation, while CPSII is inhibited by UDP/UTP and activated by ATP/PRPP. Recent research has found that CPSI regulates immune function by maintaining ammonia metabolism balance in memory T cells," and its expression defect can lead to effector T cell ammonia toxicity death.,,,CPSI deficiency leads to hyperammonemia and urea cycle disorders, while CPSII mutations cause orotic aciduria, manifested as growth retardation and neurological damage.",
Chloroperoxidase,Chloroperoxidase,CPO,Enzyme Assay,pH 2.75,pH 3.0,kDa,CPO is a multifunctional peroxidase that can catalyze various reactions such as oxidation, halogenation, and epoxidation of organic compounds," and has important applications in electrochemical catalysis, chiral synthesis, and green chemistry. Its molecular weight is about 42 kDa, and the optimal reaction conditions are pH 2.75-3.0.,After immobilization in mesoporous materials, hydrothermal stability can be improved by 23 times (under 45°C conditions), and it can be reused 20 times while maintaining activity, suitable for catalytic reactions in polar solvents such as acetonitrile.,Fields such as electrochemical catalysis, drug synthesis, and green chemistry, such as alkene epoxidation, aromatic hydrocarbon chlorination, toluene oxidation, and chiral synthesis reactions.,CPO is derived from Caldariomyces fumago fungus, and the storage condition is recommended to be 2-8°C. Its catalytic reactions are efficient and environmentally friendly, suitable for green chemistry applications.",
Tear lactate dehydrogenase,Tear lactate dehydrogenase,tLDH,Ophthalmology Test,1.29,9.02,U/L,LDH in tears mainly comes from the corneal epithelium, and its concentration is about 20 times that in serum. Tear LDH mainly contains M subunits, with LDH5 and LDH4 having the highest content. In bacterial corneal ulcers and keratoconjunctival chemical injuries," tear LDH activity decreases; when the keratoconjunctival epithelium is damaged, the LDH isozyme HM ratio and MDHm increase, and MDHm better reflects the corneal tissue damage and the degree of lesions.,Avoid rubbing the eyes with hands before examination to prevent infection or aggravation of the condition. Follow the doctor's instructions during the examination.,Diagnosis of corneal diseases, such as differential diagnosis of bacterial corneal ulcers, keratoconjunctival chemical injuries, trachoma, and chronic conjunctivitis.,LDH activity in healthy human tears is between 1.29-9.02 U/L, and MDH isozymes are mainly MDHs (80-98.1%), with MDHm exceeding 20% being abnormal. Measurement of tear LDH isozymes and LDH/MDH ratio helps in the diagnosis and differentiation of eye diseases.",
Lymphocytes,Lymphocytes,LYM,Blood Routine,0.2,0.4,%,"Lymphocytes are a type of white blood cell and are the smallest white blood cells. They are produced by lymphoid organs and mainly exist in the lymph fluid circulating in lymphatic vessels. They are important cellular components of the body's immune response function and are the main executors of almost all immune functions of the lymphatic system. They are the first-line """"soldiers"""" against external infections and monitoring of cell mutations in the body. Lymphocytes are a class of cell lines with immune recognition functions. According to their migration", surface molecules, and functions," they can be divided into T lymphocytes (also called T cells), B lymphocytes (also called B cells), and natural killer (NK) cells. T cells and B cells are both antigen-specific lymphocytes, and their initial origin is the same, both from hematopoietic tissue.,If lymphocyte counts are abnormal, it is recommended to consult a doctor for further examination to determine the cause.,Applicable for blood tests, used to assess immune system function and infection status.,Lymphocyte counts within the normal range indicate normal immune system function. Increased numbers may indicate infectious diseases, certain blood diseases, or the recovery period of acute infectious diseases; decreased numbers may be related to the use of chemical drugs, exposure to radiation, immunodeficiency diseases, or the acute phase of certain infectious diseases.",
Lymphocyte percentage,Lymphocyte percentage,LYM%,Blood Routine,20,40,%,Lymphocytes have the function of producing and carrying antibodies and defending against viral infections. Lymphocyte percentage is a routine blood test in clinical laboratory testing, with a normal value of 20.0%-40.0%. Increased lymphocyte percentage is mainly seen in infectious diseases, while decreased percentage is mainly seen in immunodeficiency diseases," etc.,1. Increase",
Mainly seen in infectious diseases, and mainly viral infections, such as infectious lymphocytosis, infectious mononucleosis, measles, chickenpox, mumps, viral hepatitis, epidemic hemorrhagic fever, and can also be seen in pertussis," tuberculosis, brucellosis, syphilis, etc. In addition, neoplastic diseases (leukemia, lymphoma), recovery period of acute infectious diseases, and after organ transplantation can also show lymphocyte increase.",
2. Decrease,,,,,,,,,,,
Mainly seen in treatment with adrenal corticosteroids, alkylating agents, antilymphocyte globulin, etc., as well as radiation injury, immunodeficiency diseases, gamma globulin deficiency," etc.""",Adults,,,
Lymphocyte count,Lymphocyte count,LYM#,Blood Routine,1,4.8,10^9/L,Lymphocytes are a type of white blood cell, accounting for 20%-40% of peripheral blood white blood cells, mainly responsible for identifying and clearing pathogens (such as viruses," bacteria) and abnormal cells, and participating in immune regulation. According to function, they can be divided into three categories: T cells, B cells, and NK cells, which are responsible for cellular immunity, humoral immunity, and direct killing of abnormal cells respectively.,High absolute lymphocyte count may be caused by various reasons, including viral infections, bacterial infections, blood system diseases, autoimmune diseases, etc. For these reasons, different treatment measures should be taken, such as antiviral treatment, antibiotic treatment, chemotherapy, radiotherapy, etc.,Adults,",
Free triiodothyronine,Free triiodothyronine,FT3,Thyroid Function,3.1,6.8,pmol/L,Free triiodothyronine (FT3) is an important hormone indicator reflecting the physiological activity state of the thyroid. The normal range is 2.63-5.7 pmol/L (specific values may vary depending on laboratory testing methods). Elevated FT3 levels are common in hyperthyroidism and may cause cardiovascular complications such as arrhythmia and angina. Combined testing of FT3, FT4, TSH," and imaging examinations is needed to clarify the cause. Treatment options include antithyroid drugs, I-131 therapy, and surgical intervention. Patients need to cooperate with long-term monitoring and lifestyle adjustments.,Hyperthyroidism",
FT3 elevation is an early sensitive indicator of hyperthyroidism, with level changes earlier than FT4 and often accompanied by significant suppression of TSH. Hyperthyroid patients may experience palpitations, weight loss, etc., and in severe cases may develop thyroid storm.,,,,,,,
Other abnormal causes,,,,,,,,,,,
Physiological fluctuations: Hormonal changes during pregnancy, long-term mental stress, or lack of sleep may cause transient FT3 elevation.,,,,,,,,,
Drug factors: Excessive intake of thyroxine preparations can interfere with test results.,,,,,,,,,,,
Rare causes: Diseases such as hyperthyroidism, pituitary TSH tumor," thyroid hormone resistance syndrome need to be differentiated through specific tests.""",Adults,,,,,,,,
Free thyroxine,Free thyroxine,FT4,Thyroid Function,12,22,pmol/L,Thyroxine is a hormone synthesized and secreted by thyroid follicular epithelial cells. Pregnancy, lactation, cirrhosis," nephrotic syndrome, etc., can change the concentration and binding capacity of serum thyroxine-binding globulin, causing changes in free thyroxine concentration. Free thyroxine measurement is not affected by serum binding proteins (mainly TBG) and is a sensitive indicator of thyroid function in vitro tests. Even when changes in serum thyroxine-binding globulin concentration and binding capacity occur under physiological and pathological conditions, it can more accurately reflect thyroid function.,Tetraiodothyronine (T4) is part of the thyroid physiological regulation system. It affects total metabolism, and the vast majority of T4 binds to its transport proteins (TBG, prealbumin, albumin). FT4 measurement is an important part of routine clinical diagnosis. When thyroid dysfunction is suspected, FT4 and TSH are often measured together. FT4 is also suitable as a monitoring method for thyroid suppression therapy. The advantage of FT4 measurement is that it is not affected by changes in concentration and binding characteristics of its binding proteins. Serum FT4 is a sensitive indicator of thyroid function in vitro tests. When changes in TBG binding capacity and concentration occur under physiological and pathological conditions, it can more accurately reflect thyroid function and is superior to FT3 in diagnosing hypothyroidism. In early hyperthyroidism and follow-up, or conditions such as low T3 syndrome caused by certain diseases, combined with FT3 and TSH measurements can improve diagnostic consistency.,Adults,",
Free thyroxine,Free thyroxine,FT4,Thyroid Function,9,23,pmol/L,Free thyroxine (FT4) is thyroxine in the blood not bound to proteins, directly reflecting thyroid function status. It is an important indicator for evaluating thyroid diseases (such as hyperthyroidism and hypothyroidism) and is often tested together with TSH and FT3 to help diagnose and monitor treatment effects. Thyroxine (T4) is secreted by the thyroid gland, and most of it binds to proteins in the blood (such as thyroxine-binding globulin)," with only about 0.03% existing in free form, known as free thyroxine (FT4). Because FT4 is not affected by changes in binding protein concentrations, it can more truly reflect thyroid activity and is one of the core indicators for clinical evaluation of thyroid function.,Hyperthyroidism",
1. FT4 elevation: Common in Graves disease, early thyroiditis, or excessive intake of thyroid hormone.,,,,,,,,,
Accompanied by significantly decreased TSH (usually < 0.1 mU/L).,,,,,,,,,,,
Hypothyroidism,,,,,,,,,,,
2. FT4 reduction: Indicates insufficient thyroid hormone secretion, common in Hashimoto's thyroiditis, iodine deficiency, or postoperative thyroid function damage.,,,,,,,,
Accompanied by elevated TSH (usually > 10 mU/L).,,,,,,,,,,,
Subclinical thyroid disease,,,,,,,,,,,
3. FT4 normal but TSH abnormal (such as mildly elevated TSH in subclinical hypothyroidism) may indicate early lesions, requiring regular rechecks.,,,,,,,,,,
Pregnancy monitoring,,,,,,,,,,,
4. During pregnancy, thyroxine-binding globulin increases, total T4 (TT4) may increase," but FT4 more accurately reflects actual function.""",Adults,,,,,,,
Globulin,Globulin,GLO,Liver Function,20,35,g/L,Globulin is a serum protein in the human body with immune functions. When the immune system encounters foreign invaders, it produces different amounts of globulin according to the characteristics of the invaders. If the invaders are difficult to eliminate, it will stimulate the lymphatic system to produce more globulin until the invaders are eliminated.,Serum globulin elevation,
Serum globulin elevation is mainly an increase in γ-globulin and may be associated with the following diseases.,,,,,,,,,,,
① Inflammatory or chronic infectious diseases: such as tuberculosis, malaria, kala-azar, leprosy, schistosomiasis, hepatitis, subacute endocarditis, etc.,,,,
② Autoimmune diseases: rheumatic fever, systemic lupus erythematosus, rheumatoid arthritis, autoimmune cirrhosis, etc.,,,,,,,
③ Certain malignant tumors: multiple myeloma, lymphoma, primary macroglobulinemia.,,,,,,,,,
Serum globulin reduction,,,,,,,,,,,
Serum globulin reduction is mainly due to decreased synthesis, which may be physiological or disease-related, specifically as follows:,,,,,,,,,
① Physiological reduction: birth to 3 years old.,,,,,,,,,,,
② Immune function suppression: such as the use of adrenal corticosteroids and immunosuppressants.,,,,,,,,,,,
"③ Hypogammaglobulinemia.""",Adults,,,,,,,,,,
Triglycerides,Triglycerides,TG,Blood Lipid,0,1.7,mmol/L,Elevation has limited clinical significance, but extremely high levels may cause pancreatitis.,It is recommended to control weight," reduce carbohydrate intake, and visit the endocrinology department if necessary.,Adults,TG elevation is a risk factor for metabolic syndrome and pancreatitis.",
Thyroglobulin,Thyroglobulin,Tg,Thyroid Function,5,40,μg/L,Thyroglobulin is a large glycoprotein secreted by thyroid follicular epithelial cells and is a very important protein in the thyroid follicle. The normal value is usually 5 to 40 μg/L. You should always pay attention to your health status and consult a doctor for regular physical examinations to detect and handle condition changes in time.,"The normal value of thyroglobulin is not fixed and may be affected by many factors, such as age, gender, physiological state, etc. For example, in women during pregnancy and lactation, thyroglobulin levels may change. The normal value range of different laboratories and testing methods may also vary. Therefore, when interpreting thyroglobulin test results, comprehensive judgment should be made based on the specific clinical situation and the normal value range of the laboratory.",,,
If thyroid function problems occur, you should seek medical attention in time. Meanwhile, diet should be mainly light and easy to digest, avoiding excessive intake of greasy and irritating foods such as fried foods and spicy foods," and eating more fresh vegetables and fruits.""",Adults,,,,,,
Thyroglobulin antibody,Thyroglobulin antibody,TgAb,Thyroid Function,0,115,IU/ml,The normal reference range of anti-thyroglobulin antibody (TgAb) is usually 0-115 IU/mL (different testing methods or hospitals may differ slightly), and the specific reference should be based on the reference interval indicated in the report. This indicator is commonly elevated in autoimmune thyroid diseases (such as Hashimoto's thyroiditis and Graves disease) or postoperative monitoring of thyroid cancer.,"Simple TgAb elevation (without thyroid function abnormalities or symptoms) usually does not require special treatment, but regular reexamination of thyroid function (TSH, FT3, FT4) and ultrasound is needed. If accompanied by the following situations, further intervention is needed:",,
1. Hypothyroidism: Elevated TSH, decreased FT4, requiring levothyroxine supplementation.,,,,,,,,,
"2. Thyroid enlargement or nodules: Combine with ultrasound to determine whether biopsy or surgery is needed.""",Adults,,,,,,,,,,
