指标名,英文名,英文简称,类别,左边界,右边界,单位,专业解读,建议,适用范围,健康解读
甲胎蛋白定量,Alpha-fetoprotein quantitative,AFP,肿瘤标志物,0,25,ng/ml,甲胎蛋白水平升高可能与肝癌、肝炎、肝硬化或生殖细胞肿瘤等疾病相关。 对于甲胎蛋白异常的患者，需结合临床表现和其他检查结果进行综合评估，并制定个体化的治疗方案。 定期检测甲胎蛋白有助于早期发现相关疾病，及时采取干预措施，改善预后。,"肝癌高危人群（如乙肝/丙肝患者、肝硬化患者）：建议每6个月检测AFP并联合肝脏超声筛查。
孕妇：AFP常用于唐氏综合征筛查（需结合游离β-HCG等指标），异常升高可能与胎儿神经管缺陷相关。",成人,
癌胚抗原,Carcinoembryonic antigen,CEA,肿瘤标志物,0,2.5,ng/ml,癌胚抗原是一种具有人类胚胎抗原特性的酸性糖蛋白，存在于内胚层细胞分化而来的肿瘤细胞中。其血清浓度与多种肿瘤，特别是消化道肿瘤相关。,CEA超过20 ng/ml时往往提示有消化道肿瘤，建议进一步检查。,用于大肠癌、胰腺癌、胃癌、小细胞肺癌、乳腺癌、甲状腺髓样癌等恶性肿瘤的辅助诊断和术后监测。,97%的健康成人血清CEA浓度在2.5ng/ml以下。CEA升高也可见于妊娠期和心血管疾病、糖尿病、非特异性结肠炎等非肿瘤性疾病。
癌胚抗原定量,Carcinoembryonic antigen quantitative,CEA,肿瘤标志物,0,5,ug/L,CEA 是一种具有人类胚胎抗原特异性的酸性糖蛋白，于 1965 年由 Gold 和 Freedman首先从结肠癌和胚胎组织中提取的一种肿瘤相关抗原，随后在多种其他类型的肿瘤患者、有多年吸烟史的人群或有某些其他非恶性疾病患者的血液中均可检测到 CEA 的浓度升高。,肿瘤标志物检查是一个非常需要谨慎的一个检查项目（或项目组合），对于CEA这个项目，其可以说是一个泛肿瘤标志物，在很多肿瘤中都会增高（以消化道肿瘤与肺部肿瘤为多）。但其增高并不都是肿瘤，在炎症性疾病或者孕妇孕期都可能会增高，需要根据具体症状和体征进行判断，再但是当CEA＞20µg/L时候需要高度重视，这时候需要排除肿瘤的可能。CEA另外一个重要的用处是肿瘤治疗的疗效及其复发、转移的监测，当出现持续增高或者一次增高很多的情况，需要注意有没有新发肿瘤或者转移发生，需要根据其他检查（特别是影像学/超声的检查）综合性判断。,成人,
白细胞,Leukocytes,WBC,血常规,4,10,×10^9/L,升高提示感染/炎症；减少见于化疗/免疫抑制等。,明显升高或粒细胞过低建议就诊血液科。,成人、儿童,白细胞是免疫系统关键组成，数量变化反映免疫状态。
白细胞计数,White blood cell count,WBC,血常规,4,10,10^9/L,白细胞是人体血液中非常重要的一类血细胞。白细胞在人体中担负许多重任，它具有吞噬异物并产生抗体的作用、机体损伤的治愈能力、抵御病原体入侵的能力、对疾病的免疫抵抗力等。其实白细胞还可以细分为五种类型，使用仪器或人工方法对这五类细胞分别计数，被称为白细胞分类计数。这五类白细胞中嗜中性粒细胞占0.5～0.7，淋巴细胞占0.2～0.4，单核细胞占0.03～0.08，嗜酸性粒细胞占0.01～0.05，嗜碱性粒细胞不超过0.01。人体不适时，经常会通过白细胞数量的显著变化而表现出来。因此到医院看病很多情况下需要化验血常规，现在医院血常规化验多采用仪器，常有20多项指标，很多时候医生首先关注白细胞（WBC）数是否改变。白细胞是一种非常特殊且重要的细胞，因此了解它的相关知识非常重要。,"白细胞总数升高，是被非常关注的问题，这种升高既有生理性因素也有病理性因素。我们可以不必担心生理性因素造成的暂时性升高，但是绝对不能忽视病理性增高。当然，白细胞数量明显减少也是不可忽视的问题。白细胞数量升高和减少往往有以下情况：
1.生理性增高
新生儿、妊娠末期、分娩期、剧烈运动后等。
2.病理性增高
化脓性细菌性炎症、尿毒症、白血病、组织损伤、手术创伤等。
3.减少
病毒性感染、伤寒、副伤寒、黑热病、疟疾、再生障碍性贫血、化疗和放疗后等。",成人,
白细胞酯酶,Leukocyte esterase,LEU,尿常规,阴性,强阳性(2+),无,白细胞酯酶是中性粒细胞内特异性酶类，阳性结果表示存在中性粒细胞浸润，提示炎症反应。但需注意：1)仅反映中性粒细胞存在，不区分感染病原体类型；2)尿液中粒细胞数达0.5-15个/μL即可呈阳性；3)肾移植排斥反应时淋巴细胞为主可呈假阴性；4)受多种药物和标本因素影响可能出现假阳性/阴性。,1.阳性结果建议结合临床症状及其他检查（如尿培养）明确感染类型；2.检测需使用新鲜尿液标本；3.注意排除药物干扰（如呋喃咀啶可致假阳性，庆大霉素可致假阴性）；4.阴性结果不能完全排除感染，如怀疑尿路结核需进一步检查。,1.泌尿系统感染筛查（如肾盂肾炎、尿路感染）；2.阴道炎症评估（反映阴道清洁度）；3.肾移植术后监测；4.常规体检尿检项目。,阴性结果提示泌尿/生殖系统黏膜正常；弱阳性(1+)可能见于月经期或用药后；强阳性(2+)提示存在明确炎症反应，需及时就医。剧烈运动或发热也可能导致短暂阳性。
白蛋白,Albumin,ALB,肝功能,35,55,g/L,低值提示肝合成功能受损或营养不良，比例失衡可能为免疫异常。,建议调整饮食营养并评估肝肾功能。,成人、儿童,白蛋白是反映营养和肝功能的重要指标。
直接胆红素DBil,Direct bilirubin,DBil,肝功能,0,6.8,μmol/L,直接胆红素（DBil）又称结合胆红素，是由间接胆红素进入肝后受肝内葡萄糖醛酸基转移酶的作用与葡萄糖醛酸结合生成的。直接胆红素溶于水，与偶氮试剂呈直接反应，能通过肾随尿排出体外。肝脏对胆红素的代谢起着重要作用，包括肝细胞对血液中间接胆红素的摄取、结合和排泄三个过程。血清直接胆红素的升高，说明经肝细胞处理后胆红素从胆道的排泄发生障碍。直接胆红素的测定有助于黄疸类型的诊断和鉴别诊断。,"直接胆红素增高：主要见于阻塞性黄疸、肝细胞性黄疸、肝癌、胰头癌、胆石症、胆管癌等。
黄疸类型的鉴别诊断如下：
1.溶血性黄疸：红细胞遭到破坏后，大量的血红蛋白进入单核-巨噬细胞，被转变成间接胆红素。由于间接胆红素过量，肝细胞不能将间接胆红素全部转变为直接胆红素,致血清中的间接胆红素增高。
2.肝细胞性黄疸：肝脏发生病变，导致肝细胞转变间接胆红素的能力下降，所以血清中间接胆红素增高。又因为毛细胆管堵塞，使得直接胆红素从胆道的排泄受到阻碍，血清中直接胆红素也会增高。
3.阻塞性黄疸：由于肝内或肝外发生阻塞，导致直接胆红素从胆道的排泄受到阻碍，只能进入血液循环，造成血清中直接胆红素增高。",成人,
真菌淀粉酶,Fungal amylase,fAMY,酶学检测,4,9,FAU (真菌淀粉酶单位),真菌淀粉酶是由米曲霉瓦尔经深层培养、提取等工序精制而成。该酶为内切淀粉酶，可以迅速水解胶凝淀粉、直链淀粉和支链淀粉水溶液内部的1，4葡萄糖苷键，产生可溶性糊精及少数麦芽糖和葡萄糖。长时间反应会产生大量麦芽糖和少量葡萄糖的糖浆。,用于焙烤制品、发酵酒、淀粉糖、果汁、蔬菜加工、酒精生产，按生产需要适量使用。,饴糖、高麦芽糖、啤酒酿制、烘焙食品等行业。,ADI无需规定（来自米曲霉。FAO/WHO，1994）。
碱性磷酸酶,Alkaline phosphatase,ALP,肝功能,35,105,U/L,升高见胆道梗阻、骨病等；需结合γ-GT判断来源。,可配合影像学或γ-GT进一步检查。,成人、儿童,ALP升高常见于肝胆或骨骼疾病，需结合病史判断。
磷酸尿苷酰转移酶,Uridylyltransferase,UTase,酶学检测,,,,磷酸尿苷酰转移酶（galT基因编码）是乳糖代谢Leloir途径的核心催化酶，主要负责催化UDP葡萄糖与半乳糖1磷酸的基团转移反应，生成葡萄糖1磷酸与UDP半乳糖。该酶编码基因GALT定位于人类9号染色体短臂13.3区（9p13.3），其功能缺陷可导致半乳糖代谢障碍，引发新生儿半乳糖血症。,酶活性低于10时，半乳糖1磷酸在肝脏和脑部异常积聚，导致肝硬化及智力障碍。治疗需终身限制乳糖摄入，禁用含可吸收糖分的药物如乳果糖。,新生儿半乳糖血症筛查,在微生物代谢中，通过基因工程手段增强galT基因表达可显著提升乳糖代谢效率。截至2025年，已发现该酶的7种地域变异型，涵盖Duarte型、Indiana型等。
磷酸肌酸激酶,Creatine kinase,CK,心肌损伤相关,18,198,U/L,肌酸激酶（Creatine Kinase，CK），也称为肌酸磷酸激酶。肌酸激酶以骨骼肌、心肌、平滑肌含量为多，其次是脑组织，胃肠道、肺和肾内含量较少。肌酸激酶主要存在于细胞质和线粒体中，是一个与细胞内能量运转、肌肉收缩、ATP再生有直接关系的重要激酶。肌酸激酶活性测定可以用于骨骼肌疾病及心肌疾病的诊断。,"1.增高
（1）生理性增高：①运动后可导致肌酸激酶明显增高，且运动越剧烈、时间越长，肌酸激酶升高越明显。②分娩者和新生儿血清肌酸激酶活性高于正常值。③一些治疗和诊断措施，如安装人工心脏起搏器、电休克、放射治疗、心脏按压、心导管检查、泌尿系检查等，可使血清肌酸激酶活性增高。④男性肌肉容量大，血清肌酸激酶活性较女性高。⑤肌肉注射某些药物（如麻醉药、止痛药、抗生素、地塞米松等），可导致血清肌酸激酶活性增高。⑥口服某些药物，如氯贝丁酯，可使血清肌酸激酶活性增高。
（2）病理性增高：心肌梗死、病毒性心肌炎、皮肌炎、肌营养不良、心包炎、脑血管意外等。
2.降低
甲状腺功能亢进症。",成人,
磷酸肌酸激酶同工酶,Creatine kinase MB,CK-MB,心肌损伤相关,0,100,%,磷酸肌酸激同工酶是对血液中磷酸肌酸激同工酶的活动进行检查，在临床上主要用于诊断心脏、骨骼肌和脑内病变。CK—MM (骨骼肌来源)：97%-100%； CK—MB (心肌来源)：0%-3%； CK—BB (脑来源)：0,异常结果：　(1) CK—MM(骨骼肌来源)升高 (即同工酶正常而CK总活力升高)，见于原发性肌萎缩和Duchenne肌萎缩、癫痫大发作。　(2) CK—MB(心肌来源) 升高，见于心肌梗塞、心肌炎等心肌疾病和新生儿产后窒息。　(3) CK—BB(脑来源) 升高：新生儿产后窒息和脑外伤。　需要检查的人群：新生儿，中老年人群，心脏疾病与患者。,成人,
磷酸葡萄糖异构酶,Glucose-6-phosphate isomerase,GPI,酶学检测,50.8,72.9,U/L,磷酸葡萄糖异构酶是一种多功能的蛋白质，在类风湿关节炎中可以升高。同时，心脏梗死，或者肝炎，肝硬化等也可以明显升高。,如检测值异常，建议进一步检查相关疾病如类风湿关节炎、心脏梗死、肝炎、肝硬化等。,适用于评估类风湿关节炎、心脏梗死、肝炎、肝硬化等疾病。,正常情况下，磷酸葡萄糖异构酶活性应在参考范围内。异常升高可能与多种疾病相关，需结合其他检查结果综合判断。
空腹血糖,Fasting plasma glucose,FPG,糖代谢,3.89,6.1,mmol/L,空腹血糖是指在隔夜空腹（至少8～10小时未进任何食物，饮水除外）后，早餐前采的血浆检测出的血糖值，能反映胰岛B细胞功能，一般表示基础胰岛素的分泌功能，是糖尿病最常用的检测指标。,测空腹血糖最好在清晨6：00～8：00取血，采血前不用降糖药、不吃早餐、不运动。如果空腹抽血的时间太晚，所测的血糖值很难真实反映患者的治疗效果，其结果可能偏高或偏低。,糖尿病筛查及血糖代谢情况评估,正常人的空腹血糖值为3.89-6.1mmol/L；空腹血糖值＜2.8mmol/L，并且临床产生相应的症状则考虑为低血糖；空腹血糖值＞6.1mmol/L且＜7.0mmol/L，可考虑为空腹血糖受损；空腹血糖值≥7.0mmol/L，考虑为糖尿病，建议再次复查空腹血糖，或进行口服葡萄糖耐量试验。
管型,Urinary casts,Casts,尿常规,0,3,个/UL,尿液管型是指细胞、细胞碎片以及蛋白质混合在一起，形成的一种柱状的颗粒物，在显微镜下可看见形态学上像管型的一种结构，常见管型主要包括透明管型、颗粒管型、脂肪管型、蜡样管型、细胞管型，以及其它类型的管型。在正常人尿常规检测分析中，除偶尔可见到透明管型之外，其它特殊类型的管型难以见到，尿常规管型正常范围为0-3个/UL，一般认为在临床中每高倍镜视野下，出现2-3个/UL及以上的管型，即代表肾脏存在异常损伤，如肾炎、肾功能衰竭等。,"管型尿在临床上可用于判断肾小球功能是否存在损害，肾小管集合管部位是否存在功能损害，是否存在肾实质，以及其它功能损害性疾病。健康人体的尿液中偶见透明管型，在激烈运动、脱水、发热时尿液中可偶见颗粒管型，肾小管和肾小球有炎症或变性时也可以看到颗粒管型。尿液中出现红细胞管型时，通常是由肾小球或肾小管出血所致，代表存在急性肾小球肾炎、慢性肾炎急性发作、肾出血等疾病。尿液中出现白细胞管型时，常提示肾实质有感染性病变，如肾脓肿、间质性肾炎等。尿液中出现脂肪管型时，提示肾小管出现损伤，可能存在慢性肾小球肾炎、中毒性肾病、肾病综合征等。

尿常规管型有重要的提示价值和参考意义，出现尿液管型数量增多时，一定要及时就诊，针对管型做进一步的相关功能学试验和检查，明确是否已经存在典型的肾脏内科系统、功能系统损害性疾病，并进行相应的治疗。",成人,
类风湿因子,Rheumatoid factor,RF,免疫风湿,0,20,IU/ml,"类风湿因子(rheumatoid factor, RF)是以变性IgG的Fc片段为靶抗原的自身抗体。类风湿关节炎相关自身抗体之一。可分为IgA-RF、IgG-RF、IgM-RF和IgE-RF。其中IgA-RF和lgM-RF易检测，lgG-RF难检测，约有50%的IgG-RF被漏检，是“隐匿性类风湿因子""的原因之一。RF不仅与变性的IgG分子反应，也与自身lgG或异体lgG分子反应，还可与其他抗原如核蛋白发生交叉反应。RF产生于外周淋巴结，关节滑膜、扁桃体淋巴滤泡和骨髓等。B淋巴细胞的激活，尤其CD5+B淋巴细胞是产生IgM-RF的主要细胞。","1.自身免疫疾病，如类风湿关节炎、系统性红斑狼疮、干燥综合征、皮肌炎、硬皮病等
2.急性病毒性感染，如单核细胞增多症、肝炎、流行性感冒等。
3.慢性细菌性感染，如结核病、细菌性心内膜炎等。
4.寄生虫感染，如疟疾、血吸虫病等；
⑤某些肿瘤。",成人,
粪便常规,Stool routine,Stool,粪便检查,无,无,阴性,单独异常意义不大，常结合白细胞阳性提示感染性肠病或炎性肠病等。,异常建议就诊消化内科进一步化验检查。,成人,粪便异常可提示消化道感染或炎症。
粪便隐血,Fecal occult blood,FOBT,粪便检查,无,无,阴性,易出现假阳性，但对于筛查结直肠癌仍有重要意义，尤其中老年人群。,阳性建议进一步肠镜检查或定期随访，排除肠道病变。,中老年人,FOBT是早期发现结直肠癌的重要筛查工具。
精氨酰琥珀酸裂解酶,Argininosuccinate lyase,ASL,酶学检测,0.2,5.3,u,精氨酰琥珀酸裂解酶是尿素合成代谢过程中产生的一种酶，其在肝中含量最丰富，少量存在于小肠和肾脏。当肝脏发生病变时，精氨酰琥珀酸裂解酶即可随肝细胞破坏进入血液。目前认为诊断肝炎时测定精氨酰琥珀酸裂解酶的意义与转氨酶相当。,检查前：抽血前一天不吃过于油腻、高蛋白食物，避免大量饮酒。血液中的酒精成分会直接影响检验结果。抽血前禁食12小时，取新鲜血液送检。,发热，伴以全身乏力，食欲不振，厌油，恶心，甚或呕吐常有上腹部不适、腹胀、便泌或腹泻等症状的病人。,异常结果：（1）重度升高：病毒性肝炎、原发性肝癌等。（2）中度升高：胆囊胆管炎、传染性单核细胞增多症、充血性心功能不全、慢性肝炎、肝硬化、霍奇金病等。
精液乳酸脱氢酶X,Seminal lactate dehydrogenase X,LDH-X,男科检测,40,,,LDHX是精子细胞的一种特异酶，存在睾丸初级精母细胞、精子细胞、精子以及精浆中，以精子含量最高，它是精子糖代谢所必需的酶，为精子在生殖道运动提供充足能源。显然，LDHX与精子的生成、代谢、获能以至受精有密切关系。LDHX活性和相对活性(LDH X/LDH)与精子浓度特别是活精子浓度呈良好的正相关，活性减低可致生育力下降。睾丸萎缩、精子生成缺陷及少精或无精症患者，LDHX活性相对降低或消失。这说明LDHX活性与睾丸生精功能有关，是评价睾丸生精功能的良好指标。,采集精液前：必须停止性生活2-7天，并且不得有自慰、梦遗等情况，还应禁烟戒酒，忌服对生精功能有影响的药物等。采集时：采精时间以晨起为佳，采精前用温水将双手、阴部，尤其是龟头洗净。可采用自慰法或电动按摩射精法引起排精。,生育力不强或者不育者，少精血精者等,LDHX/LD>40为正常值。LDHX活性与精子浓度特别是活精子浓度呈良好的正相关，活性减低可致生育力下降。
糖化血红蛋白,Hemoglobin A1c,HbA1c,糖代谢,4,6,%,糖化血红蛋白（ HbA1c）是红细胞中血红蛋白与葡萄糖缓慢、持续、非酶促结合的产物，而且这种结合是不可逆的。测定的是血液中与葡萄糖结合的血红蛋白占血红蛋白总数的百分比，其正常参考范围：4 ～ 6%。,糖化血红蛋白可以准确反映较长期血糖控制的程度，在血糖监控中发挥着重要作用。可以说，没有其他任何一个血糖控制指标「包括空腹血糖、负荷后血糖、血糖波动等」像糖化血红蛋白这样稳定，因此，所有的糖尿病权威指南都将糖化血红蛋白作为糖尿病患者血糖控制的金标准。,成人,
糖化酶,Glycosidase,GlyCase,酶学检测,4,4.5,U（酶活力单位）,"糖化酶是一种能将淀粉从非还原性末端水解α-1,4葡萄糖苷键产生葡萄糖的酶，同时也能缓慢水解α-1,6葡萄糖苷键。它在60-62℃和pH4.0-4.5的条件下活性最高。",使用时需严格控制温度和pH值，避免短期高温。淀粉质原料需与酶充分接触，间歇糖化需充分搅拌，连续化需流量均匀。,酒精、淀粉糖、味精、抗菌素、柠檬酸、啤酒等工业以及白酒、黄酒的生产。,糖化酶在食品工业中广泛应用，对设备无腐蚀性，使用安全。合理使用可提高生产效率，改善劳动条件。
糖原合成酶,Glycogen synthase,GYS,酶学检测,,,Ug,"糖原合成酶（EC 2.4.1.11）是催化糖原合成的限速酶，主要存在于肝细胞和肌细胞的胞液中，以尿苷二磷酸葡萄糖（UDPG）为活化葡萄糖供体。该酶通过1,4-糖苷键将葡萄糖单元转移至含有至少4个葡萄糖残基的引物非还原末端，形成直链结构，其催化活性依赖糖原引物及分支酶的协同作用。糖原合成酶的活性受磷酸化修饰调控：去磷酸化状态具有活性，磷酸化后活性丧失。激素通过cAMP-蛋白激酶系统调节其磷酸化水平，胰岛素促进去磷酸化激活酶活性，而肾上腺素与胰高血糖素则诱导磷酸化失活。此外，6-磷酸葡萄糖可激活该酶，ATP则发挥变构抑制作用。",,肝细胞和肌细胞,作为胰岛素作用的主要靶酶，糖原合成酶在维持血糖稳态中发挥核心作用。肝细胞通过该酶合成糖原以储存餐后过剩葡萄糖，肌细胞则利用糖原为高强度运动提供快速能量。其活性异常与胰岛素抵抗、2型糖尿病等代谢疾病密切相关。
糖类抗原125,Cancer antigen 125,CA125,肿瘤标志物,0,35,KU/L,CA-125（癌抗原 125，癌抗原125，或糖类抗原125）也被称为粘蛋白16或MUC16，是一种蛋白质，在人中由MUC16 基因编码。 MUC16是粘蛋白家族糖蛋白的成员。CA-125已经找到应用程序作为肿瘤标志物或生物标志物，其可以在某些癌症患者的特定类型的血液中升高，或是良性的其他条件。,"在临床中，还有一些炎性疾病和其他良性疾病，如子宫内膜异位症、盆腔炎、胆囊炎、胰腺炎、肺炎、卵巢巧克力囊肿、胸腔和腹腔积液等，也可能会出现此现象，需要结合其他的相关检查化验，如胸部CT、腹部CT等，判断升高的具体原因。

此外，CA125还可以用于疾病的疗效评价，主要用于评价肿瘤的治疗效果。如果经过治疗，此数值下降恢复到正常，则说明治疗效果好，肿瘤得到了有效控制；如果治疗后测量值有下降，但仍在35kU/L以上，则说明肿瘤有残留；如果治疗后测量值没变或还在升高，这说明目前采取的治疗方法无效，需及时更换治疗方案。",成人,
糖类抗原15-3,Cancer antigen 15-3,CA15-3,肿瘤标志物,0,28,KU/L,糖类抗原15-3是一种肿瘤标志物，由具有分泌功能的上皮细胞分泌，如乳腺、肺、胃肠道、子宫等，在正常人的排泄物中也可以检出,"临床意义
糖类抗原15-3是乳腺癌重要的特异性标志物之一，是乳腺癌患者诊断和监测术后复发和疗效的较为敏感的指标。糖类抗原15-3水平异常升高，常提示乳腺癌有局部复发或全身复发的可能。另外，糖类抗原15-3在肺癌、胰腺癌、卵巢癌、结直肠癌均可升高。
潜在疾病： 
原因分析
疾病因素
1.乳腺癌：30%~50%的乳腺癌患者的糖类抗原15-3可以升高。随着临床分期的增加，患者血清中糖类抗原15-3水平可显著升高，且淋巴结有转移者血清糖类抗原15-3水平更加显著升高。对于乳腺癌术后患者，血清糖类抗原15-3水平可以下降，但是对于术后复发患者，该指标水平有可能上升。
2.肺癌：糖类抗原15-3在肺癌患者中也可以持续显著升高，是目前应用最广泛的肿瘤标记物之一，但在正常肺组织，包括正常呼吸道黏膜的柱状上皮细胞和腺体也可分泌。
3.卵巢癌：糖类抗原15-3属于多型糖蛋白，在乳腺癌、卵巢癌等腺上皮来源的恶性肿瘤组织中表达水平较高，是临床最常用的乳腺癌肿瘤标志物之一。
就诊科室
导致糖类抗原15-3升高的疾病不同，就诊科室有所不同。乳腺癌建议到乳腺外科、乳腺内科或肿瘤内科就诊；肺癌建议到呼吸科、肿瘤科或胸外科就诊；卵巢癌建议到妇科或肿瘤内科就诊。
诊疗建议
经检测发现糖类抗原15-3升高者，明确病因后应积极治疗原发病。因具体疾病不同，选择的应对方式也不一样。
1.乳腺癌：治疗一般为手术、放疗、和药物治疗。常用药物有多柔比星、表柔比星、吡柔比星、紫杉醇、多西他赛、环磷酰胺、和他莫昔芬等。手术治疗目前是乳腺癌患者的首选治疗手段，应综合评估乳腺癌分期和患者身体情况，适当选择保乳术、全乳切除术、乳房重建术。此外，也可配合放疗和新辅助化疗。
2.肺癌：应采取多学科综合治疗模式，合理地应用手术、化疗、放疗和生物靶向等治疗手段，以期达到根治或最大程度控制肿瘤，提高治愈率。目前肺癌的治疗仍以手术治疗、放射治疗和药物治疗为主。
3.卵巢癌：初始治疗以手术为主，化疗为辅，配合放疗和生物学治疗等。用于治疗卵巢癌的药物主要包括紫杉醇类、铂类、生物靶向类和激素类等，生物靶向药物包括贝伐单抗、曲贝替定、紫杉醇脂质体注射液、盐酸多柔比星脂质体、多西他赛聚合胶束、奈达铂静脉注射液等。
饮食调理
饮食原则
因各种原发疾病引起的糖类抗原15-3升高，应按照原发病的不同给予不同的饮食规则。
1.乳腺癌患者主要推荐多吃水果、蔬菜、粗粮和豆制品，建议成人每天至少喝2-3杯蔬菜汁，1-2杯水果汁。
2.肺癌和卵巢癌患者应多食用易消化、高蛋白、高维生素及低脂食物，如水果、蔬菜及适量的肉类。
饮食注意事项
由癌症引起的糖类抗原15-3升高患者应避免食用过多高脂肪食物，比如花生油、大豆油、橄榄油、玉米油、葵花籽油等烹调油类。避免食用过多坚果类的食物，比如腰果、榛子、松子、核桃、开心果等。同时限制含钠多的食品，如咸肉、咸鱼、咸菜、酱菜等腌熏食品。另外，还要避免食用过多高糖食物，如可乐、巧克力、蛋糕、高果葡糖浆、玉米以及高糖饮料等。
生活管理
1.癌症患者应建立健康的生活方式，如保持正常的体重、坚持日常锻炼、减少酒精的摄入，不要抽烟、慎用保健品。
2.患者康复期，可选择一项适合自己并能终生坚持的有氧运动。推荐进行有规律的锻炼，每周至少150min的中等强度锻炼，1周2次的力量训练。可选择的运动有快走、骑车、游泳、打太极拳以及有氧舞蹈等。",成人,
糖类抗原19-9,Cancer antigen 19-9,CA19-9,肿瘤标志物,0,37,U/ML,"通常糖类抗原19-9的正常值<37单位/ml，不同试剂以及实验室检查可能正常值存在差异。如果糖类抗原19-9长期高于正常值上限范围的5-10倍以上，会比较危险，说明患者体内可能存在恶性肿瘤。

糖类抗原19-9增高，好发于消化道恶性肿瘤的患者，比如胃癌、胆管癌、结肠癌、直肠癌等，糖类抗原19-9增高的程度，一般和肿瘤大小、淋巴结转移、远处转移，以及浸润深度相关。肿瘤分期越晚糖类抗原19-9的数值会越高，造成的危险也会越大。除消化道的恶性肿瘤外，糖类抗原19-9增高还可以发生在其它腺癌，比如乳腺癌、非小细胞肺腺癌等。糖类抗原19-9指标的动态变化，一般用于进行抗癌治疗疗效的监测和预后判断。通常在恶性肿瘤治疗之前，糖类抗原19-9可以明显增高，治疗之后如果肿瘤获得好转，糖类抗原19-9可以逐渐下降到正常。如果经过一段时间，患者的恶性肿瘤复发，甚至转移时，糖类抗原19-9可能再次升高，可以比影像学发现复发更早出现升高。",患者应定期做胃镜肠镜检查，以及肝脏、胰腺CT，以及B超检查，以此观察组织是否有恶性肿瘤存在，而胸部CT、乳腺B超检查等也是必要检查。如果患者发现占位性病变，取病理后可以诊断是否为恶性肿瘤。对于确诊恶性肿瘤的患者，如果没有发生淋巴结转移或者远处转移的情况，建议进行手术治疗，如果是晚期患者，可以采用化疗、靶向治疗、免疫治疗的方式，控制病情发展。,成人,
糖类抗原242,Cancer antigen 242,CA242,肿瘤标志物,0,20,KU/L,糖链抗原242（CA242）高到一定程度时，需要警惕肿瘤的可能性，但并不能单凭其升高就确定肿瘤的存在，需要结合其他检查手段进行综合评估才能明确诊断。,"恶性肿瘤的提示：当CA242的值超过正常值3倍以上时，需要警惕是否存在恶性肿瘤，尤其是胰腺肿瘤和胃肠道肿瘤。这是因为CA242是这些肿瘤的标记物之一，其升高可能与肿瘤的发生发展有关。有资料表明，CA242在恶性肿瘤中的检出率可达60%-85%，且含量较高。对胰腺癌的诊断，CA242的敏感性可达66%-100%，对大肠癌的敏感性也达60%-72%。
良性病变的可能性：需要注意的是，胆管炎、胆囊炎、胰腺炎等良性病变也可能会引起CA242的轻度升高。但这些情况下，其升高幅度一般不大，且不会出现持续性升高。",成人,
糜蛋白酶,Chymotrypsin,CHYM,酶学检测,10,1265,μg/g,为胰腺分泌的一种蛋白水解酶，能迅速分解变性蛋白质，作用、用途与胰蛋白酶相似，比胰蛋白酶分解能力强、毒性低、不良反应小。可使粘稠的痰液稀化，便于咳出，对脓性和非脓性痰液均有效。也用于创伤或手术后伤口愈合。可用于白内障摘除。,酶活性降低常见于慢性胰腺炎、囊性纤维变形、小肠吸收障碍。,用于慢性支气管炎、支气管扩张或肺脓肿的治疗，可使脓性和非脓性痰液均可液化，易于咳出。,糜蛋白酶对痰多患者效果较好，使痰易于咳出。
红细胞,Red blood cells,RBC,血常规,3.5,5.5,x10^12/L,红细胞是血液中为数最多的一类血细胞，是脊椎动物以及少数无脊椎动物体内通过血液运送氧气的最主要的媒介，同时还具有酸碱缓冲以及免疫功能。此外，由于红细胞表面具有400多种抗原，据此开发的血型系统，有助于输血时避免溶血现象发生。红细胞具有可塑性变化、悬浮稳定性、渗透脆性等生理特性。,红细胞数量减少或质量异常会引起红细胞疾病，最常见的如贫血、镰形细胞病等。贫血表现为红细胞数量或功能的异常，导致氧气输送能力下降；镰形细胞病则是由于红细胞形态改变，导致血管堵塞，影响血液流动。因此，可以通过检测红细胞参数和形态变化对某些疾病进行诊断或鉴别诊断。,红细胞是各种血细胞中数量最多的一种，常以每升血液中含有多少（/L）表示。不同种类动物的红细胞数量不同。同种动物红细胞数量也因品种、年龄、性别、生理状态和生活环境等因素而改变。在人类中，正常成年男性的红细胞数量为(4.0~5.5)X10^12/L；正常成年女性为(3.5~5.0)x10^12/L;新生儿可高达6.0x10^12/L以上。红细胞内的功能蛋白质主要是血红蛋白。中国成年男性血红蛋白正常值为120~160g/L；成年女性为110~150g/L。,红细胞生成起源于多能造血干细胞（hemopoietic stem cells），经历造血干细胞阶段、定向祖细胞阶段和前体细胞阶段三个关键分化过程，需要铁元素、维生素B12和叶酸等组成，其生命周期受代谢及体温等因素影响。红细胞老化后，易导致血管堵塞，所以会自动返回骨髓深处，由白细胞负责销毁；或是在经过肝脏时，被巨噬细胞分解，成为胆汁。
